Time(ms),Fhr1(BPM),Fhr2(BPM),Uc(TOCO),Time_sec,Avg_FHR_BPM,Avg_Pulse_Interval_ms
61000,160,0,63,61.0,161.46666666666667,371.5937241948803
61250,160,0,62,61.25,161.46666666666667,371.5937241948803
61500,160,0,62,61.5,161.46666666666667,371.5937241948803
61750,162,0,62,61.75,161.46666666666667,371.5937241948803
62000,162,0,62,62.0,161.46666666666667,371.5937241948803
62250,164,0,62,62.25,161.46666666666667,371.5937241948803
62500,164,0,62,62.5,161.46666666666667,371.5937241948803
62750,163,0,61,62.75,161.46666666666667,371.5937241948803
63000,163,0,61,63.0,161.46666666666667,371.5937241948803
63250,162,0,60,63.25,161.46666666666667,371.5937241948803
63500,162,0,60,63.5,161.46666666666667,371.5937241948803
63750,160,0,59,63.75,161.46666666666667,371.5937241948803
64000,160,0,59,64.0,158.66666666666666,378.15126050420173
64250,159,0,58,64.25,158.66666666666666,378.15126050420173
64500,159,0,58,64.5,158.66666666666666,378.15126050420173
64750,159,0,56,64.75,158.66666666666666,378.15126050420173
65000,159,0,56,65.0,158.66666666666666,378.15126050420173
65250,158,0,55,65.25,158.66666666666666,378.15126050420173
65500,158,0,55,65.5,158.66666666666666,378.15126050420173
65750,158,0,55,65.75,158.66666666666666,378.15126050420173
66000,158,0,55,66.0,158.66666666666666,378.15126050420173
66250,159,0,54,66.25,158.66666666666666,378.15126050420173
66500,159,0,54,66.5,158.66666666666666,378.15126050420173
66750,159,0,54,66.75,158.66666666666666,378.15126050420173
67000,159,0,54,67.0,158.66666666666666,378.15126050420173
67250,158,0,53,67.25,158.66666666666666,378.15126050420173
67500,158,0,53,67.5,158.66666666666666,378.15126050420173
67750,158,0,52,67.75,157.73333333333332,380.3888419273035
68000,158,0,52,68.0,157.73333333333332,380.3888419273035
68250,157,0,51,68.25,157.73333333333332,380.3888419273035
68500,157,0,51,68.5,157.73333333333332,380.3888419273035
68750,156,0,50,68.75,157.73333333333332,380.3888419273035
69000,156,0,50,69.0,157.73333333333332,380.3888419273035
69250,158,0,50,69.25,157.73333333333332,380.3888419273035
69500,158,0,50,69.5,157.73333333333332,380.3888419273035
69750,159,0,50,69.75,157.73333333333332,380.3888419273035
70000,159,0,50,70.0,157.73333333333332,380.3888419273035
70250,159,0,50,70.25,157.73333333333332,380.3888419273035
70500,159,0,50,70.5,157.73333333333332,380.3888419273035
70750,158,0,49,70.75,157.73333333333332,380.3888419273035
71000,158,0,49,71.0,157.73333333333332,380.3888419273035
71250,156,0,49,71.25,157.73333333333332,380.3888419273035
71500,156,0,49,71.5,158.4,378.78787878787875
71750,156,0,48,71.75,158.4,378.78787878787875
72000,156,0,48,72.0,158.4,378.78787878787875
72250,157,0,48,72.25,158.4,378.78787878787875
72500,157,0,48,72.5,158.4,378.78787878787875
72750,157,0,47,72.75,158.4,378.78787878787875
73000,157,0,47,73.0,158.4,378.78787878787875
73250,159,0,47,73.25,158.4,378.78787878787875
73500,159,0,47,73.5,158.4,378.78787878787875
73750,161,0,48,73.75,158.4,378.78787878787875
74000,161,0,48,74.0,158.4,378.78787878787875
74250,161,0,48,74.25,158.4,378.78787878787875
74500,161,0,48,74.5,158.4,378.78787878787875
74750,159,0,48,74.75,158.4,378.78787878787875
75000,159,0,48,75.0,158.4,378.78787878787875
75250,156,0,48,75.25,153.4,391.1342894393742
75500,156,0,48,75.5,153.4,391.1342894393742
75750,156,0,48,75.75,153.4,391.1342894393742
76000,156,0,48,76.0,153.4,391.1342894393742
76250,155,0,47,76.25,153.4,391.1342894393742
76500,155,0,47,76.5,153.4,391.1342894393742
76750,154,0,46,76.75,153.4,391.1342894393742
77000,154,0,46,77.0,153.4,391.1342894393742
77250,153,0,45,77.25,153.4,391.1342894393742
77500,153,0,45,77.5,153.4,391.1342894393742
77750,151,0,44,77.75,153.4,391.1342894393742
78000,151,0,44,78.0,153.4,391.1342894393742
78250,150,0,43,78.25,153.4,391.1342894393742
78500,150,0,43,78.5,153.4,391.1342894393742
78750,151,0,42,78.75,153.4,391.1342894393742
79000,151,0,42,79.0,147.66666666666666,406.3205417607224
79250,150,0,41,79.25,147.66666666666666,406.3205417607224
79500,150,0,41,79.5,147.66666666666666,406.3205417607224
79750,149,0,40,79.75,147.66666666666666,406.3205417607224
80000,149,0,40,80.0,147.66666666666666,406.3205417607224
80250,148,0,39,80.25,147.66666666666666,406.3205417607224
80500,148,0,39,80.5,147.66666666666666,406.3205417607224
80750,147,0,38,80.75,147.66666666666666,406.3205417607224
81000,147,0,38,81.0,147.66666666666666,406.3205417607224
81250,147,0,37,81.25,147.66666666666666,406.3205417607224
81500,147,0,37,81.5,147.66666666666666,406.3205417607224
81750,146,0,36,81.75,147.66666666666666,406.3205417607224
82000,146,0,36,82.0,147.66666666666666,406.3205417607224
82250,145,0,36,82.25,147.66666666666666,406.3205417607224
82500,145,0,36,82.5,147.66666666666666,406.3205417607224
82750,142,0,36,82.75,139.2,431.0344827586207
83000,142,0,36,83.0,139.2,431.0344827586207
83250,140,0,36,83.25,139.2,431.0344827586207
83500,140,0,36,83.5,139.2,431.0344827586207
83750,140,0,36,83.75,139.2,431.0344827586207
84000,140,0,36,84.0,139.2,431.0344827586207
84250,139,0,36,84.25,139.2,431.0344827586207
84500,139,0,36,84.5,139.2,431.0344827586207
84750,139,0,36,84.75,139.2,431.0344827586207
85000,139,0,36,85.0,139.2,431.0344827586207
85250,138,0,35,85.25,139.2,431.0344827586207
85500,138,0,35,85.5,139.2,431.0344827586207
85750,137,0,35,85.75,139.2,431.0344827586207
86000,137,0,35,86.0,139.2,431.0344827586207
86250,138,0,34,86.25,139.2,431.0344827586207
86500,138,0,34,86.5,137.73333333333332,435.62439496611813
86750,137,0,34,86.75,137.73333333333332,435.62439496611813
87000,137,0,34,87.0,137.73333333333332,435.62439496611813
87250,137,0,34,87.25,137.73333333333332,435.62439496611813
87500,137,0,34,87.5,137.73333333333332,435.62439496611813
87750,137,0,33,87.75,137.73333333333332,435.62439496611813
88000,137,0,33,88.0,137.73333333333332,435.62439496611813
88250,137,0,32,88.25,137.73333333333332,435.62439496611813
88500,137,0,32,88.5,137.73333333333332,435.62439496611813
88750,138,0,32,88.75,137.73333333333332,435.62439496611813
89000,138,0,32,89.0,137.73333333333332,435.62439496611813
89250,139,0,31,89.25,137.73333333333332,435.62439496611813
89500,139,0,31,89.5,137.73333333333332,435.62439496611813
89750,139,0,31,89.75,137.73333333333332,435.62439496611813
90000,139,0,31,90.0,137.73333333333332,435.62439496611813
90250,139,0,30,90.25,136.86666666666667,438.3828543594739
90500,139,0,30,90.5,136.86666666666667,438.3828543594739
90750,139,0,30,90.75,136.86666666666667,438.3828543594739
91000,139,0,30,91.0,136.86666666666667,438.3828543594739
91250,138,0,30,91.25,136.86666666666667,438.3828543594739
91500,138,0,30,91.5,136.86666666666667,438.3828543594739
91750,137,0,29,91.75,136.86666666666667,438.3828543594739
92000,137,0,29,92.0,136.86666666666667,438.3828543594739
92250,137,0,29,92.25,136.86666666666667,438.3828543594739
92500,137,0,29,92.5,136.86666666666667,438.3828543594739
92750,136,0,28,92.75,136.86666666666667,438.3828543594739
93000,136,0,28,93.0,136.86666666666667,438.3828543594739
93250,134,0,28,93.25,136.86666666666667,438.3828543594739
93500,134,0,28,93.5,136.86666666666667,438.3828543594739
93750,133,0,26,93.75,136.86666666666667,438.3828543594739
94000,133,0,26,94.0,133.8,448.43049327354254
94250,134,0,25,94.25,133.8,448.43049327354254
94500,134,0,25,94.5,133.8,448.43049327354254
94750,134,0,24,94.75,133.8,448.43049327354254
95000,134,0,24,95.0,133.8,448.43049327354254
95250,135,0,22,95.25,133.8,448.43049327354254
95500,135,0,22,95.5,133.8,448.43049327354254
95750,135,0,21,95.75,133.8,448.43049327354254
96000,135,0,21,96.0,133.8,448.43049327354254
96250,134,0,19,96.25,133.8,448.43049327354254
96500,134,0,19,96.5,133.8,448.43049327354254
96750,133,0,18,96.75,133.8,448.43049327354254
97000,133,0,18,97.0,133.8,448.43049327354254
97250,132,0,17,97.25,133.8,448.43049327354254
97500,132,0,17,97.5,133.8,448.43049327354254
97750,132,0,15,97.75,130.6,459.41807044410416
98000,132,0,15,98.0,130.6,459.41807044410416
98250,132,0,14,98.25,130.6,459.41807044410416
98500,132,0,14,98.5,130.6,459.41807044410416
98750,132,0,13,98.75,130.6,459.41807044410416
99000,132,0,13,99.0,130.6,459.41807044410416
99250,131,0,12,99.25,130.6,459.41807044410416
99500,131,0,12,99.5,130.6,459.41807044410416
99750,130,0,12,99.75,130.6,459.41807044410416
100000,130,0,12,100.0,130.6,459.41807044410416
100250,129,0,12,100.25,130.6,459.41807044410416
100500,129,0,12,100.5,130.6,459.41807044410416
100750,129,0,12,100.75,130.6,459.41807044410416
101000,129,0,12,101.0,130.6,459.41807044410416
101250,129,0,11,101.25,130.6,459.41807044410416
101500,129,0,11,101.5,128.2,468.01872074883
101750,129,0,11,101.75,128.2,468.01872074883
102000,129,0,11,102.0,128.2,468.01872074883
102250,128,0,11,102.25,128.2,468.01872074883
102500,128,0,11,102.5,128.2,468.01872074883
102750,128,0,11,102.75,128.2,468.01872074883
103000,128,0,11,103.0,128.2,468.01872074883
103250,128,0,11,103.25,128.2,468.01872074883
103500,128,0,11,103.5,128.2,468.01872074883
103750,128,0,11,103.75,128.2,468.01872074883
104000,128,0,11,104.0,128.2,468.01872074883
104250,128,0,11,104.25,128.2,468.01872074883
104500,128,0,11,104.5,128.2,468.01872074883
104750,128,0,11,104.75,128.2,468.01872074883
105000,128,0,11,105.0,128.2,468.01872074883
105250,128,0,11,105.25,128.06666666666666,468.50598646538265
105500,128,0,11,105.5,128.06666666666666,468.50598646538265
105750,128,0,11,105.75,128.06666666666666,468.50598646538265
106000,128,0,11,106.0,128.06666666666666,468.50598646538265
106250,128,0,11,106.25,128.06666666666666,468.50598646538265
106500,128,0,11,106.5,128.06666666666666,468.50598646538265
106750,129,0,11,106.75,128.06666666666666,468.50598646538265
107000,129,0,11,107.0,128.06666666666666,468.50598646538265
107250,128,0,11,107.25,128.06666666666666,468.50598646538265
107500,128,0,11,107.5,128.06666666666666,468.50598646538265
107750,128,0,11,107.75,128.06666666666666,468.50598646538265
108000,128,0,11,108.0,128.06666666666666,468.50598646538265
108250,128,0,11,108.25,128.06666666666666,468.50598646538265
108500,128,0,11,108.5,128.06666666666666,468.50598646538265
108750,127,0,11,108.75,128.06666666666666,468.50598646538265
109000,127,0,11,109.0,126.46666666666667,474.43331576172903
109250,127,0,11,109.25,126.46666666666667,474.43331576172903
109500,127,0,11,109.5,126.46666666666667,474.43331576172903
109750,127,0,11,109.75,126.46666666666667,474.43331576172903
110000,127,0,11,110.0,126.46666666666667,474.43331576172903
110250,126,0,11,110.25,126.46666666666667,474.43331576172903
110500,126,0,11,110.5,126.46666666666667,474.43331576172903
110750,126,0,11,110.75,126.46666666666667,474.43331576172903
111000,126,0,11,111.0,126.46666666666667,474.43331576172903
111250,126,0,11,111.25,126.46666666666667,474.43331576172903
111500,126,0,11,111.5,126.46666666666667,474.43331576172903
111750,126,0,11,111.75,126.46666666666667,474.43331576172903
112000,126,0,11,112.0,126.46666666666667,474.43331576172903
112250,127,0,11,112.25,126.46666666666667,474.43331576172903
112500,127,0,11,112.5,126.46666666666667,474.43331576172903
112750,127,0,11,112.75,127.46666666666667,470.7112970711297
113000,127,0,11,113.0,127.46666666666667,470.7112970711297
113250,128,0,11,113.25,127.46666666666667,470.7112970711297
113500,128,0,11,113.5,127.46666666666667,470.7112970711297
113750,128,0,11,113.75,127.46666666666667,470.7112970711297
114000,128,0,11,114.0,127.46666666666667,470.7112970711297
114250,128,0,11,114.25,127.46666666666667,470.7112970711297
114500,128,0,11,114.5,127.46666666666667,470.7112970711297
114750,128,0,11,114.75,127.46666666666667,470.7112970711297
115000,128,0,11,115.0,127.46666666666667,470.7112970711297
115250,127,0,11,115.25,127.46666666666667,470.7112970711297
115500,127,0,11,115.5,127.46666666666667,470.7112970711297
115750,127,0,11,115.75,127.46666666666667,470.7112970711297
116000,127,0,11,116.0,127.46666666666667,470.7112970711297
116250,126,0,11,116.25,127.46666666666667,470.7112970711297
116500,126,0,11,116.5,125.46666666666667,478.2146652497343
116750,126,0,11,116.75,125.46666666666667,478.2146652497343
117000,126,0,11,117.0,125.46666666666667,478.2146652497343
117250,126,0,11,117.25,125.46666666666667,478.2146652497343
117500,126,0,11,117.5,125.46666666666667,478.2146652497343
117750,126,0,11,117.75,125.46666666666667,478.2146652497343
118000,126,0,11,118.0,125.46666666666667,478.2146652497343
118250,125,0,11,118.25,125.46666666666667,478.2146652497343
118500,125,0,11,118.5,125.46666666666667,478.2146652497343
118750,125,0,11,118.75,125.46666666666667,478.2146652497343
119000,125,0,11,119.0,125.46666666666667,478.2146652497343
119250,125,0,11,119.25,125.46666666666667,478.2146652497343
119500,125,0,11,119.5,125.46666666666667,478.2146652497343
119750,125,0,11,119.75,125.46666666666667,478.2146652497343
120000,125,0,11,120.0,125.46666666666667,478.2146652497343
120250,125,0,11,120.25,123.6,485.4368932038835
120500,125,0,11,120.5,123.6,485.4368932038835
120750,124,0,11,120.75,123.6,485.4368932038835
121000,124,0,11,121.0,123.6,485.4368932038835
121250,123,0,11,121.25,123.6,485.4368932038835
121500,123,0,11,121.5,123.6,485.4368932038835
121750,123,0,11,121.75,123.6,485.4368932038835
122000,123,0,11,122.0,123.6,485.4368932038835
122250,123,0,11,122.25,123.6,485.4368932038835
122500,123,0,11,122.5,123.6,485.4368932038835
122750,123,0,11,122.75,123.6,485.4368932038835
123000,123,0,11,123.0,123.6,485.4368932038835
123250,124,0,11,123.25,123.6,485.4368932038835
123500,124,0,11,123.5,123.6,485.4368932038835
123750,124,0,11,123.75,123.6,485.4368932038835
124000,124,0,11,124.0,124.53333333333333,481.7987152034261
124250,124,0,11,124.25,124.53333333333333,481.7987152034261
124500,124,0,11,124.5,124.53333333333333,481.7987152034261
124750,124,0,11,124.75,124.53333333333333,481.7987152034261
125000,124,0,11,125.0,124.53333333333333,481.7987152034261
125250,124,0,11,125.25,124.53333333333333,481.7987152034261
125500,124,0,11,125.5,124.53333333333333,481.7987152034261
125750,125,0,11,125.75,124.53333333333333,481.7987152034261
126000,125,0,11,126.0,124.53333333333333,481.7987152034261
126250,125,0,11,126.25,124.53333333333333,481.7987152034261
126500,125,0,11,126.5,124.53333333333333,481.7987152034261
